acronym	name	description	homepage	contact	released	administeredBy
NCOD	NCoD	National Disease classification of Ethiopia		Tigist Habtamu Shiferaw	2021-05-23T00:00:00.000+00:00	https://data.bioontology.org/users/tigisth
LC-MEDIA	Library of Congress Media Types Scheme	Media Types Scheme is derived from a controlled list of values reflecting the general type of intermediation device required to view, play, run, etc., the content of a resource, which is principally used in RDA cataloging.	http://id.loc.gov/vocabulary/mediaTypes.html	Nancy Lorimer	2020-07-02T18:05:12.000-07:00	https://data.bioontology.org/users/nlorimer
RNPRIO	Research Network and Patient Registry Inventory Ontology	Ontology for Inventories of Clinical Data Research Networks, Patient-Powered Research Networks, and Patient Registries 		Seena Farzaneh	2013-06-07T00:00:00.000-07:00	https://data.bioontology.org/users/sfarzaneh
CTCAE	Common Terminology Criteria for Adverse Events	\r\nCommon Terminology Criteria for Adverse Events (CTCAE) is widely accepted throughout the oncology community as the standard classification and severity grading scale for adverse events in cancer therapy clinical trials and other oncology settings. Version 5 was published by the NCI Cancer Therapy Evaluation Program (CTEP) in November 2017. It is organized by MedDRA System Organ Class and mapped to MedDRA LLTs with corresponding MedDRA codes, and harmonized with MedDRA at the Adverse Event (AE) level including revised AE terms and severity indicators to reflect clinical effects identified with current oncology interventions.Severity grades are assigned and most are defined to clarify the meaning of the term. CTCAE is designed to integrate into information networks for safety data exchange, and is the primary standard for data management for AE data collection, analysis, and patient outcomes associated with cancer research and care.	https://nciterms.nci.nih.gov/ncitbrowser/pages/vocabulary.jsf?dictionary=CTCAE_v5&version=5.0	CTCAE Help	2017-11-30T00:00:00.000+00:00	https://data.bioontology.org/users/safrant;https://data.bioontology.org/users/rwynne
NND_ND	NND_Neuropathological_Diagnosis	Netherlands Neurogenetics Database Neuropathological Diagnosis ontology. This ontology describes the most common neurodegenerative and psychiatric disorders in the Netherlands Brain Bank and can be used for cross-disorder brain research.		Nienke Mekkes	2023-08-07T00:00:00.000+00:00	https://data.bioontology.org/users/Mekkes_NND
ISO19115ID	ISO 19115 Identification Information	ISO 19115-1:2014 Identification Information Section for describing Geospatial Datasets		Kim Durante	2017-07-09T18:05:21.000-07:00	https://data.bioontology.org/users/kdurante
RDO	Reusable Biodiversity Ontology	Facilitating Biodiversity information 		Archana Patel	2021-06-02T00:00:00.000+00:00	https://data.bioontology.org/users/archana+patel
TESTEX	test1	first ontology creation format		felipe	2021-04-21T00:00:00.000+00:00	https://data.bioontology.org/users/fleza
AHSO	Animal Health Surveillance Ontology	(Work in progress - please contact ahso@datadrivensurveillance.org before using this ontology)\r\n\r\nThis is an ontology for health surveillance, assuming that surveillance data is recorded at three main levels:\r\n\r\nSAMPLE data - data about specific collected samples; OBSERVATIONS, which can aggregate several samples; and OBSERVATIONAL CONTEXT, which is the context in which the observations were made (for instance clinical observation, surveillance sampling, etc). \r\n\r\nHEALTH EVENT is the occurrence in the real World to be modeled. This occurrence is an abstract concept, as it generally cannot be determined what are its boundaries in time, space, or population units. \r\n\r\nWe assume that several OBSERVATIONS are derived from each health event, and recorded in the same or different databases - for instance clinical journal, laboratory database, abattoir. At the same time or not. \r\n\r\nAHSO attempts to model these time specific observations. The ontology is focused on the modeling of the animal and health information connected to a single observation, made at a specific point on time. All the information recorded is relative to that specific point in time.\r\n\r\nFor instance, an animal belongs to a herd, which belongs to an owner, AT THE TIME OF THE OBSERVATION. We do not attempt to model how that animal changed herds on time. Similarly, we do not model clinical progression. It is up to those using the data to create definitions of when two observations should be connected to the same event.	http://datadrivensurveillance.org/ahso	Karl Hammar	2018-07-30T00:00:00.000+00:00	https://data.bioontology.org/users/datadrivendorea
CLO	Cell Line Ontology	The Cell Line Ontology (CLO) is a community-based ontology in domain of biological cell lines with a focus on permanent cell lines from culture collections. Upper ontology structures that frame the skeleton of CLO include Basic Formal Ontology and Relation Ontology. Cell lines contained in CLO are associated with terms from other ontologies such as Cell Type Ontology, NCBI Taxonomy, and Ontology for Biomedical Investigation. A common design pattern for the cell line is used to model cell lines and their attributes, the Jurkat cell line provides ane xample.  Currently CLO contains over 36,000 cell line entries obtained from ATCC, HyperCLDB, Coriell, and bymanual curation. The cell lines are derived from 194 cell types, 656 anatomical entries, and 217 organisms. The OWL-based CLO is machine-readable and can be used in various applications.	http://www.clo-ontology.org/	Oliver He	2024-06-28T18:02:35.000+00:00	https://data.bioontology.org/users/siiraa;https://data.bioontology.org/users/yongqunh%40med.umich.edu
ADO	Alzheimer's Disease Ontology	Alzheimer's Disease Ontology is a knowledge-based ontology that encompasses varieties of concepts related to Alzheimer's Disease, structured by upper level Basic Formal Ontology (BFO). This ontology is enriched by the interrelated entities that demonstrate the network of the understanding on Alzheimer's disease and can be readily applied for text mining.	https://github.com/Fraunhofer-SCAI-Applied-Semantics/ADO	Alpha Tom Kodamullil	2023-09-09T00:00:00.000+00:00	https://data.bioontology.org/users/akodamullil;https://data.bioontology.org/users/maestro
IMOBO	Intelligent Medicine oriented Biobank Ontology	Intelligent Medicine oriented Biobank Ontology (IMOBO) is an ontology developed to facilitate the annotation and modeling of biobank repositories, metadata, and biobanking administration, supporting the paradigm shift towards AI in medicine. IMOBO focuses on AI modeling in both clinical applications and healthcare, with a specific emphasis on engaging clinical doctors and patients in data collection. Its goal is to structure knowledge for the future patient-centered medical paradigm. As measurement technologies and medical artificial intelligence continue to evolve, IMOBO will continually enhance its content and structure.		Xingyun Liu	2024-06-04T00:00:00.000+00:00	https://data.bioontology.org/users/XingyunLiu
WIKIPATHWAYS	WikiPathways	The WP ontology for WikiPathways.	https://vocabularies.wikipathways.org/wp	Egon Willighagen	2025-05-23T18:15:12.000-07:00	https://data.bioontology.org/users/AlexanderPico;https://data.bioontology.org/users/wikipathways;https://data.bioontology.org/users/egonw
SOPHARM	Suggested Ontology for Pharmacogenomics	SO-Pharm (Suggested Ontology for Pharmacogenomics) is a domain ontology implemented in OWL-DL, which proposes a formal description of pharmacogenomic knowledge. SO-Pharm articulates different ontologies that represent complementary sub-domains of pharmacogenomics, i.e. related to genotype, phenotype, drugs, and clinical trials. SO-Pharm enables to represent pharmacogenomic relationships between a drug, a genomic variation and a phenotype trait. In addition, it enables to represent patient and more largely panel included in trials, and populations. SO-Pharm enables the representation of measured items on this patients such as results from the observation of a phenotype trait or of genomic variations. SO-Pharm supports knowledge about pharmacogenomic hypothesis, case study, and investigations in pharmacogenomics. SO-Pharm is designed to facilitate data integration and knowledge discovery in pharmacogenomics. In addition it provides a consistent articulation of ontologies of pharmacogenomic sub-domains.		Adrien Coulet	2017-03-02T00:00:00.000+00:00	https://data.bioontology.org/users/coulet
